time,open,high,low,close,volume
1585130400000,6500.00000000,6628.50000000,6457.50000000,6511.50000000,438.87700000
1585137600000,6511.50000000,6745.50000000,6502.00000000,6585.00000000,978.48000000
1585144800000,6585.00000000,6662.00000000,6516.00000000,6615.00000000,279.52400000
1585152000000,6615.00000000,6695.50000000,6601.50000000,6650.00000000,39.70800000
1585159200000,6650.00000000,6671.50000000,6592.50000000,6622.00000000,28.12200000
1585166400000,6622.00000000,6638.00000000,6556.00000000,6588.00000000,29.33900000
1585173600000,6588.00000000,6698.50000000,6588.00000000,6698.50000000,15.47000000
1585180800000,6698.50000000,6767.00000000,6675.00000000,6688.00000000,108.01000000
1585188000000,6688.00000000,6742.00000000,6655.00000000,6726.50000000,262.09900000
1585195200000,6726.50000000,6751.00000000,6613.50000000,6625.00000000,377.02800000
1585202400000,6625.00000000,6666.00000000,6555.00000000,6582.00000000,367.39300000
1585209600000,6582.00000000,6641.50000000,6566.00000000,6616.50000000,308.83200000
1585216800000,6616.50000000,6665.00000000,6585.50000000,6598.50000000,330.91300000
1585224000000,6598.50000000,6675.50000000,6512.00000000,6626.50000000,356.58800000
1585231200000,6626.50000000,6631.50000000,6562.50000000,6611.00000000,334.50300000
1585238400000,6611.00000000,6675.00000000,6594.00000000,6630.50000000,540.18200000
1585245600000,6630.50000000,6667.00000000,6626.00000000,6656.00000000,246.37000000
1585252800000,6656.00000000,6749.00000000,6655.00000000,6713.50000000,355.61600000
1585260000000,6713.50000000,6760.00000000,6670.50000000,6733.50000000,317.43000000
1585267200000,6733.50000000,6838.00000000,6733.50000000,6799.50000000,395.39300000
1585274400000,6799.50000000,6799.50000000,6756.50000000,6789.50000000,269.65000000
1585281600000,6789.50000000,6821.50000000,6616.50000000,6653.00000000,593.34000000
1585288800000,6653.00000000,6720.00000000,6638.00000000,6702.00000000,436.31300000
1585296000000,6702.00000000,6702.00000000,6641.00000000,6648.00000000,282.74400000
1585303200000,6648.00000000,6686.50000000,6595.00000000,6617.50000000,388.62600000
1585310400000,6617.50000000,6659.00000000,6573.00000000,6591.50000000,384.72400000
1585317600000,6591.50000000,6651.00000000,6582.00000000,6621.00000000,403.01800000
1585324800000,6621.00000000,6666.00000000,6591.50000000,6632.00000000,418.74200000
1585332000000,6632.00000000,6680.00000000,6625.00000000,6655.50000000,292.77900000
1585339200000,6655.50000000,6676.00000000,6634.50000000,6670.00000000,273.83200000
1585346400000,6670.00000000,6671.50000000,6235.00000000,6354.00000000,466.18600000
1585353600000,6354.00000000,6354.00000000,6196.00000000,6268.00000000,463.91600000
1585360800000,6268.00000000,6277.50000000,6084.50000000,6118.00000000,447.79200000
1585368000000,6118.00000000,6193.00000000,6090.50000000,6158.50000000,403.36100000
1585375200000,6158.50000000,6189.00000000,6119.00000000,6177.50000000,368.19100000
1585382400000,6177.50000000,6279.50000000,6162.00000000,6246.50000000,482.29700000
1585389600000,6246.50000000,6300.00000000,6218.00000000,6231.00000000,461.19800000
1585396800000,6231.00000000,6252.50000000,6149.00000000,6217.50000000,355.76400000
1585404000000,6217.50000000,6268.00000000,6204.50000000,6208.50000000,290.06000000
1585411200000,6208.50000000,6235.50000000,6010.00000000,6010.50000000,464.14100000
1585418400000,6010.50000000,6224.50000000,6010.50000000,6212.50000000,1166.77800000
1585425600000,6212.50000000,6288.50000000,6172.50000000,6212.50000000,509.82400000
1585432800000,6212.50000000,6247.00000000,6176.00000000,6230.50000000,337.63700000
1585440000000,6230.50000000,6247.00000000,6184.00000000,6208.00000000,280.60000000
1585447200000,6208.00000000,6219.50000000,6184.00000000,6197.00000000,261.39300000
1585454400000,6197.00000000,6202.50000000,6140.50000000,6141.00000000,257.58100000
1585461600000,6141.00000000,6163.00000000,6107.50000000,6146.50000000,474.30500000
1585468800000,6146.50000000,6146.50000000,6075.00000000,6080.50000000,334.81000000
1585476000000,6080.50000000,6204.50000000,6080.50000000,6134.50000000,492.15400000
1585483200000,6134.50000000,6144.00000000,6059.50000000,6116.00000000,411.65500000
1585490400000,6116.00000000,6142.00000000,6105.00000000,6123.00000000,449.02900000
1585497600000,6123.00000000,6153.50000000,6042.00000000,6083.00000000,634.75500000
1585504800000,6083.00000000,6083.50000000,5873.00000000,5897.00000000,778.91800000
1585512000000,5897.00000000,5950.00000000,5858.00000000,5882.00000000,617.43900000
1585519200000,5882.00000000,5934.00000000,5863.50000000,5873.00000000,354.59900000
1585526400000,5873.00000000,5936.50000000,5841.50000000,5932.00000000,685.03200000
1585533600000,5932.00000000,6015.50000000,5931.50000000,5996.50000000,844.81200000
1585540800000,5996.50000000,6240.00000000,5983.00000000,6196.00000000,1771.39100000
1585548000000,6196.00000000,6321.50000000,6167.50000000,6238.50000000,1573.54700000
1585555200000,6238.50000000,6288.00000000,6238.50000000,6246.50000000,997.53800000
1585562400000,6246.50000000,6386.00000000,6245.50000000,6358.50000000,1393.21100000
1585569600000,6358.50000000,6374.50000000,6285.00000000,6302.00000000,1317.50800000
1585576800000,6302.00000000,6430.50000000,6274.00000000,6336.00000000,1458.38000000
1585584000000,6336.00000000,6384.50000000,6306.00000000,6351.00000000,1218.30200000
1585591200000,6351.00000000,6399.50000000,6327.50000000,6364.50000000,1059.57900000
1585598400000,6364.50000000,6545.00000000,6363.00000000,6525.50000000,1552.46000000
1585605600000,6525.50000000,6577.50000000,6381.50000000,6389.50000000,1231.85700000
1585612800000,6389.50000000,6509.50000000,6381.50000000,6507.00000000,1178.27400000
1585620000000,6507.00000000,6509.50000000,6408.00000000,6435.00000000,1294.74500000
1585627200000,6435.00000000,6449.50000000,6373.00000000,6408.50000000,1306.21900000
1585634400000,6408.50000000,6470.50000000,6384.50000000,6437.00000000,1105.95200000
1585641600000,6437.00000000,6497.50000000,6417.00000000,6426.50000000,1132.87600000
1585648800000,6426.50000000,6436.50000000,6339.50000000,6386.50000000,1324.83100000
1585656000000,6386.50000000,6477.00000000,6323.50000000,6411.50000000,1597.25500000
1585663200000,6411.50000000,6494.50000000,6411.50000000,6445.00000000,1636.10600000
1585670400000,6445.00000000,6460.50000000,6397.50000000,6445.50000000,1255.36300000
1585677600000,6445.50000000,6479.50000000,6427.50000000,6454.50000000,1298.84500000
1585684800000,6454.50000000,6490.00000000,6413.00000000,6436.00000000,1352.55000000
1585692000000,6436.00000000,6439.50000000,6388.50000000,6405.00000000,1234.32400000
1585699200000,6405.00000000,6417.00000000,6243.50000000,6282.00000000,1548.93800000
1585706400000,6282.00000000,6372.00000000,6282.00000000,6360.50000000,899.75000000
1585713600000,6360.50000000,6365.00000000,6283.50000000,6296.50000000,1082.28000000
1585720800000,6296.50000000,6326.50000000,6262.00000000,6323.00000000,985.15400000
1585728000000,6323.00000000,6323.00000000,6257.00000000,6291.00000000,919.89500000
1585735200000,6291.00000000,6308.00000000,6265.50000000,6286.00000000,912.57300000
1585742400000,6286.00000000,6333.00000000,6156.50000000,6197.00000000,1900.05600000
1585749600000,6197.00000000,6250.00000000,6191.50000000,6223.50000000,1438.87700000
1585756800000,6223.50000000,6223.50000000,6145.00000000,6188.00000000,1301.98800000
1585764000000,6188.00000000,6210.00000000,6160.00000000,6201.00000000,1200.16800000
1585771200000,6201.00000000,6395.00000000,6189.00000000,6345.00000000,2498.53700000
1585778400000,6345.00000000,6687.00000000,6345.00000000,6642.00000000,2864.65400000
1585785600000,6642.00000000,6739.50000000,6543.50000000,6562.50000000,1699.38500000
1585792800000,6562.50000000,6611.50000000,6562.50000000,6601.00000000,949.30300000
1585800000000,6601.00000000,6628.50000000,6560.50000000,6600.00000000,1194.23700000
1585807200000,6600.00000000,6673.00000000,6585.50000000,6639.50000000,1212.76400000
1585814400000,6639.50000000,6659.00000000,6601.00000000,6639.00000000,977.08000000
1585821600000,6639.00000000,6706.50000000,6606.50000000,6676.00000000,1332.85000000
1585828800000,6676.00000000,6725.50000000,6620.50000000,6640.50000000,1846.23200000
1585836000000,6640.50000000,6828.00000000,6637.00000000,6796.50000000,2968.27200000
1585843200000,6796.50000000,7230.50000000,6782.50000000,7081.50000000,10561.96400000
1585850400000,7081.50000000,7085.00000000,6723.00000000,6796.50000000,5795.19600000
1585857600000,6796.50000000,6843.00000000,6644.00000000,6825.50000000,2468.34500000
1585864800000,6825.50000000,6859.50000000,6730.00000000,6796.50000000,1564.06200000
1585872000000,6796.50000000,6809.50000000,6723.50000000,6798.50000000,1313.34600000
1585879200000,6798.50000000,6825.00000000,6771.00000000,6781.00000000,943.90600000
1585886400000,6781.00000000,6797.00000000,6745.00000000,6775.00000000,849.42000000
1585893600000,6775.00000000,6947.50000000,6763.00000000,6934.50000000,1229.48100000
1585900800000,6934.50000000,6980.50000000,6866.50000000,6959.00000000,1032.98000000
1585908000000,6959.00000000,7044.00000000,6917.50000000,7004.00000000,929.93000000
1585915200000,7004.00000000,7007.00000000,6807.00000000,6839.50000000,2018.11100000
1585922400000,6839.50000000,6855.50000000,6671.50000000,6710.00000000,1553.56900000
1585929600000,6710.00000000,6794.00000000,6604.50000000,6713.00000000,1118.29200000
1585936800000,6713.00000000,6785.00000000,6674.50000000,6766.00000000,472.11500000
1585944000000,6766.00000000,6810.00000000,6666.00000000,6724.00000000,812.81200000
1585951200000,6724.00000000,6775.50000000,6710.50000000,6727.50000000,394.42000000
1585958400000,6727.50000000,6801.50000000,6712.00000000,6754.50000000,436.52100000
1585965600000,6754.50000000,6755.00000000,6665.00000000,6695.00000000,444.03700000
1585972800000,6695.00000000,6764.50000000,6685.00000000,6727.50000000,307.96300000
1585980000000,6727.50000000,6734.50000000,6690.50000000,6728.00000000,154.82300000
1585987200000,6728.00000000,6859.50000000,6728.00000000,6832.50000000,654.37400000
1585994400000,6832.50000000,6899.00000000,6646.00000000,6698.00000000,3640.60500000
1586001600000,6698.00000000,6738.00000000,6665.50000000,6725.00000000,345.69800000
1586008800000,6725.00000000,6764.50000000,6702.00000000,6724.00000000,210.96200000
1586016000000,6724.00000000,6801.50000000,6720.50000000,6774.50000000,445.79300000
1586023200000,6774.50000000,6799.00000000,6723.00000000,6737.50000000,244.62900000
1586030400000,6737.50000000,7012.00000000,6737.50000000,6856.00000000,2921.83900000
1586037600000,6856.00000000,6869.50000000,6787.50000000,6863.50000000,232.66200000
1586044800000,6863.50000000,6889.00000000,6837.00000000,6846.00000000,202.49100000
1586052000000,6846.00000000,6847.00000000,6789.00000000,6795.50000000,345.05200000
1586059200000,6795.50000000,6833.00000000,6751.00000000,6791.50000000,378.26800000
1586066400000,6791.50000000,6791.50000000,6743.00000000,6774.00000000,227.89800000
1586073600000,6774.00000000,6820.00000000,6756.00000000,6772.00000000,265.23700000
1586080800000,6772.00000000,6819.00000000,6740.00000000,6776.00000000,729.58400000
1586088000000,6776.00000000,6818.50000000,6762.00000000,6796.00000000,736.91100000
1586095200000,6796.00000000,6800.50000000,6762.50000000,6785.50000000,209.30700000
1586102400000,6785.50000000,6848.00000000,6680.00000000,6792.00000000,2422.21900000
1586109600000,6792.00000000,6814.00000000,6775.00000000,6789.50000000,360.25400000
1586116800000,6789.50000000,6790.00000000,6720.00000000,6755.50000000,322.21700000
1586124000000,6755.50000000,6807.00000000,6755.00000000,6771.00000000,4278.75700000
1586131200000,6771.00000000,6884.50000000,6762.00000000,6840.00000000,982.93200000
1586138400000,6840.00000000,6845.00000000,6805.00000000,6838.00000000,572.43500000
1586145600000,6838.00000000,6997.00000000,6838.00000000,6986.00000000,2116.41800000
1586152800000,6986.00000000,7098.50000000,6959.50000000,7026.00000000,2059.38600000
1586160000000,7026.00000000,7140.00000000,7014.50000000,7100.00000000,1525.36200000
1586167200000,7100.00000000,7140.00000000,7067.00000000,7092.00000000,1059.91700000
1586174400000,7092.00000000,7158.00000000,7039.50000000,7097.50000000,1379.68300000
1586181600000,7097.50000000,7140.00000000,7054.50000000,7135.50000000,1042.84000000
1586188800000,7135.50000000,7212.00000000,7077.00000000,7201.50000000,1978.70700000
1586196000000,7201.50000000,7298.00000000,7171.50000000,7264.50000000,2283.17900000
1586203200000,7264.50000000,7282.00000000,7190.00000000,7281.50000000,1203.97300000
1586210400000,7281.50000000,7363.00000000,7232.50000000,7322.50000000,1382.62400000
1586217600000,7322.50000000,7448.00000000,7302.50000000,7340.00000000,2055.89800000
1586224800000,7340.00000000,7369.50000000,7257.00000000,7319.50000000,1729.10300000
1586232000000,7319.50000000,7319.50000000,7224.00000000,7275.50000000,1304.23000000
1586239200000,7275.50000000,7379.50000000,7253.00000000,7377.00000000,1755.30300000
1586246400000,7377.00000000,7378.50000000,7313.50000000,7364.00000000,1221.44200000
1586253600000,7364.00000000,7436.50000000,7360.50000000,7384.00000000,1788.94000000
1586260800000,7384.00000000,7458.50000000,7295.50000000,7345.50000000,2158.13600000
1586268000000,7345.50000000,7348.50000000,7254.00000000,7314.00000000,1342.82300000
1586275200000,7314.00000000,7379.00000000,7313.50000000,7346.00000000,982.77000000
1586282400000,7346.00000000,7354.50000000,7281.00000000,7281.00000000,973.66800000
1586289600000,7281.00000000,7288.50000000,7072.50000000,7166.00000000,2273.31300000
1586296800000,7166.00000000,7206.00000000,7126.50000000,7198.50000000,953.39700000
1586304000000,7198.50000000,7209.00000000,7150.50000000,7165.00000000,1707.90200000
1586311200000,7165.00000000,7382.50000000,7158.00000000,7345.00000000,2362.60100000
1586318400000,7345.00000000,7410.00000000,7324.50000000,7403.50000000,1359.25900000
1586325600000,7403.50000000,7417.00000000,7282.50000000,7313.50000000,1395.61200000
1586332800000,7313.50000000,7327.00000000,7259.50000000,7301.50000000,1019.53200000
1586340000000,7301.50000000,7336.00000000,7215.00000000,7287.00000000,1585.79800000
1586347200000,7287.00000000,7338.50000000,7196.00000000,7219.00000000,1483.05300000
1586354400000,7219.00000000,7297.50000000,7217.50000000,7272.00000000,1015.28500000
1586361600000,7272.00000000,7346.50000000,7250.50000000,7305.00000000,1232.07900000
1586368800000,7305.00000000,7332.00000000,7264.50000000,7308.50000000,737.47400000
1586376000000,7308.50000000,7358.00000000,7285.00000000,7318.00000000,738.41000000
1586383200000,7318.00000000,7388.00000000,7311.00000000,7356.50000000,854.06500000
1586390400000,7356.50000000,7364.00000000,7286.00000000,7309.00000000,959.81600000
1586397600000,7309.00000000,7320.00000000,7257.00000000,7283.00000000,552.60300000
1586404800000,7283.00000000,7307.00000000,7236.50000000,7305.50000000,800.17200000
1586412000000,7305.50000000,7331.00000000,7282.00000000,7322.00000000,456.19500000
1586419200000,7322.00000000,7344.00000000,7291.00000000,7293.00000000,1030.76200000
1586426400000,7293.00000000,7321.00000000,7143.00000000,7186.50000000,7769.94200000
1586433600000,7186.50000000,7338.00000000,7123.00000000,7326.00000000,3269.50200000
1586440800000,7326.00000000,7342.50000000,7255.00000000,7273.50000000,631.64300000
1586448000000,7273.50000000,7310.50000000,7262.50000000,7288.00000000,267.42300000
1586455200000,7288.00000000,7288.00000000,7229.50000000,7259.50000000,273.05600000
1586462400000,7259.50000000,7304.50000000,7238.50000000,7301.00000000,270.41400000
1586469600000,7301.00000000,7310.00000000,7272.50000000,7282.00000000,251.82700000
1586476800000,7282.00000000,7287.00000000,7251.00000000,7262.00000000,237.01400000
1586484000000,7262.00000000,7263.00000000,7158.00000000,7175.50000000,717.59500000
1586491200000,7175.50000000,7175.50000000,6915.50000000,6962.00000000,5233.65900000
1586498400000,6962.00000000,6999.00000000,6866.50000000,6918.00000000,2354.94500000
1586505600000,6918.00000000,6966.00000000,6854.00000000,6918.00000000,1677.18600000
1586512800000,6918.00000000,6946.00000000,6890.50000000,6897.50000000,967.66500000
1586520000000,6897.50000000,6923.00000000,6811.00000000,6895.00000000,1692.20300000
1586527200000,6895.00000000,6905.50000000,6741.50000000,6769.50000000,2672.95900000
1586534400000,6769.50000000,6892.50000000,6745.00000000,6861.50000000,2574.12000000
1586541600000,6861.50000000,6943.00000000,6847.50000000,6897.00000000,1554.94600000
1586548800000,6897.00000000,6925.00000000,6876.00000000,6888.50000000,746.15300000
1586556000000,6888.50000000,6912.00000000,6816.00000000,6857.00000000,1097.16200000
1586563200000,6857.00000000,6915.50000000,6835.00000000,6904.00000000,955.87400000
1586570400000,6904.00000000,6914.50000000,6885.50000000,6904.00000000,834.99700000
1586577600000,6904.00000000,6938.00000000,6896.50000000,6920.50000000,641.22700000
1586584800000,6920.50000000,6928.00000000,6855.50000000,6873.50000000,765.21000000
1586592000000,6873.50000000,6890.00000000,6830.50000000,6856.00000000,627.50000000
1586599200000,6856.00000000,6886.50000000,6834.50000000,6874.50000000,493.76400000
1586606400000,6874.50000000,6883.50000000,6844.50000000,6851.00000000,469.31800000
1586613600000,6851.00000000,6853.50000000,6803.00000000,6829.50000000,784.02700000
1586620800000,6829.50000000,6852.00000000,6766.00000000,6781.50000000,945.72200000
1586628000000,6781.50000000,6825.50000000,6775.00000000,6800.50000000,549.89200000
1586635200000,6800.50000000,6864.50000000,6760.00000000,6855.50000000,841.86700000
1586642400000,6855.50000000,6883.50000000,6838.00000000,6874.50000000,697.83600000
1586649600000,6874.50000000,6906.00000000,6838.50000000,6847.00000000,1155.56200000
1586656800000,6847.00000000,6849.00000000,6785.00000000,6808.00000000,774.80200000
1586664000000,6808.00000000,6838.00000000,6780.00000000,6828.00000000,642.11300000
1586671200000,6828.00000000,6833.00000000,6808.50000000,6826.00000000,438.36000000
1586678400000,6826.00000000,6853.50000000,6824.50000000,6842.00000000,402.52700000
1586685600000,6842.00000000,6868.50000000,6824.50000000,6848.00000000,496.33400000
1586692800000,6848.00000000,6921.50000000,6847.50000000,6909.50000000,1262.28200000
1586700000000,6909.50000000,7025.50000000,6905.00000000,7008.50000000,2353.44200000
1586707200000,7008.50000000,7170.00000000,7007.00000000,7093.50000000,2501.41700000
1586714400000,7093.50000000,7141.00000000,7065.00000000,7105.50000000,868.75500000
1586721600000,7105.50000000,7143.50000000,7068.00000000,7104.50000000,980.77400000
1586728800000,7104.50000000,7129.50000000,6883.00000000,6901.00000000,1456.90600000
1586736000000,6901.00000000,6901.00000000,6557.00000000,6685.50000000,5806.99300000
1586743200000,6685.50000000,6718.00000000,6652.50000000,6669.50000000,1054.35000000
1586750400000,6669.50000000,6703.50000000,6634.00000000,6687.50000000,978.23600000
1586757600000,6687.50000000,6728.00000000,6671.00000000,6693.00000000,937.50700000
1586764800000,6693.00000000,6715.00000000,6651.00000000,6677.50000000,1164.31000000
1586772000000,6677.50000000,6825.50000000,6677.00000000,6774.50000000,2083.28500000
1586779200000,6774.50000000,6774.50000000,6605.50000000,6614.50000000,4079.73600000
1586786400000,6614.50000000,6796.50000000,6605.50000000,6761.50000000,2178.31600000
1586793600000,6761.50000000,6789.50000000,6727.00000000,6744.50000000,1151.71600000
1586800800000,6744.50000000,6795.00000000,6744.00000000,6771.50000000,892.26800000
1586808000000,6771.50000000,6875.00000000,6770.00000000,6822.50000000,1824.01700000
1586815200000,6822.50000000,6885.50000000,6801.00000000,6834.50000000,965.51300000
1586822400000,6834.50000000,6867.50000000,6801.50000000,6844.50000000,1270.78500000
1586829600000,6844.50000000,6893.00000000,6835.50000000,6874.50000000,972.65000000
1586836800000,6874.50000000,6912.00000000,6862.00000000,6881.00000000,1218.28600000
1586844000000,6881.00000000,6885.50000000,6810.00000000,6817.50000000,1193.53600000
1586851200000,6817.50000000,6845.00000000,6752.50000000,6840.00000000,1504.70600000
1586858400000,6840.00000000,6869.50000000,6807.50000000,6823.00000000,908.48300000
1586865600000,6823.00000000,6884.00000000,6793.00000000,6880.00000000,807.22600000
1586872800000,6880.00000000,6939.00000000,6848.50000000,6902.00000000,2343.03300000
1586880000000,6902.00000000,6967.00000000,6874.00000000,6914.00000000,1063.34900000
1586887200000,6914.00000000,6930.00000000,6855.00000000,6911.50000000,1040.84700000
1586894400000,6911.50000000,6922.00000000,6828.50000000,6844.50000000,1089.37700000
1586901600000,6844.50000000,6895.00000000,6831.00000000,6864.50000000,897.30500000
1586908800000,6864.50000000,6870.50000000,6804.00000000,6870.00000000,598.58600000
1586916000000,6870.00000000,6910.50000000,6862.00000000,6899.50000000,762.37000000
1586923200000,6899.50000000,6924.50000000,6869.50000000,6900.00000000,863.02000000
1586930400000,6900.00000000,6908.00000000,6857.00000000,6858.50000000,522.80300000
1586937600000,6858.50000000,6875.00000000,6824.50000000,6838.50000000,795.14600000
1586944800000,6838.50000000,6860.50000000,6743.00000000,6774.00000000,2197.82700000
1586952000000,6774.00000000,6774.00000000,6677.00000000,6725.50000000,3414.17600000
1586959200000,6725.50000000,6764.00000000,6688.00000000,6695.00000000,1847.05300000
1586966400000,6695.00000000,6751.00000000,6683.00000000,6742.50000000,1038.11900000
1586973600000,6742.50000000,6763.50000000,6719.00000000,6725.00000000,705.01100000
1586980800000,6725.00000000,6754.50000000,6714.50000000,6722.00000000,278.74400000
1586988000000,6722.00000000,6724.50000000,6603.00000000,6617.50000000,1575.93400000
1586995200000,6617.50000000,6649.00000000,6465.50000000,6614.00000000,3461.35300000
1587002400000,6614.00000000,6660.50000000,6582.50000000,6641.00000000,895.43800000
1587009600000,6641.00000000,6671.00000000,6614.50000000,6624.00000000,522.23700000
1587016800000,6624.00000000,6969.00000000,6623.50000000,6885.00000000,4980.32000000
1587024000000,6885.00000000,7155.00000000,6864.50000000,7022.00000000,11331.05300000
1587031200000,7022.00000000,7055.00000000,6904.00000000,7017.00000000,3122.98900000
1587038400000,7017.00000000,7079.50000000,6929.00000000,6976.00000000,2442.23300000
1587045600000,6976.00000000,7060.50000000,6972.50000000,7044.00000000,1055.97800000
1587052800000,7044.00000000,7057.50000000,6955.00000000,6999.00000000,1245.72800000
